"Step number","Step name","Elapsed Time  (s)","DC Working Electrode (V)","DC Current (mA)","Frequency (Hz)","|Z| (Ohms)","Phase (deg)","Z' (Ohms)","-Z"" (Ohms)","THD (%)","Amplitude (mV/mA)","No of Cycles","Duration of Each Frequency (s)"
1_1,Potentiostatic EIS,28.83487874,-0.0002041358934,-3.364537285e-05,251.1878815,653.7149528,-77.47790405,141.7359289,638.1646856,0.2181570985,9.433083921,101,0.4020894615
1_1,Potentiostatic EIS,29.31355769,-0.0002045531037,-3.387396134e-05,158.4892731,1025.461272,-78.58097773,203.0236743,1005.162777,0.2329710236,9.372494199,64,0.4038128181
1_1,Potentiostatic EIS,29.79617158,-0.0002073504388,-3.383153054e-05,99.99930573,1608.11111,-77.29120962,353.7778016,1568.71368,0.2661554034,9.34943831,40,0.4000027771
1_1,Potentiostatic EIS,30.40461575,-0.000206746359,2.823387115e-06,63.09564972,2498.428264,-73.43545027,712.2903446,2394.741375,0.5403064926,9.341827863,25,0.3962238302
1_1,Potentiostatic EIS,30.9604966,-0.0002110997396,3.719190578e-06,39.81058502,3786.546137,-66.56214372,1506.114552,3474.125876,0.1686525531,8.635170154,16,0.401903162
1_1,Potentiostatic EIS,31.48094371,-0.0001944775496,4.677328069e-06,25.11878777,5446.419177,-56.43378279,3011.327044,4538.214549,0.1322043965,9.506033845,10,0.3981083838
1_1,Potentiostatic EIS,34.1156917,-0.0001956757126,-2.750785935e-05,15.84885502,7198.409254,-43.97739243,5180.074927,4998.391695,0.2545748018,9.116340333,6,0.3785762437
1_1,Potentiostatic EIS,34.75838677,-0.0002015986971,-2.710117867e-05,9.999984741,8580.062562,-31.48159184,7317.145909,4480.719731,0.2973429342,9.237012615,4,0.4000006104
1_1,Potentiostatic EIS,35.43465164,-0.0002011640599,-2.757551009e-05,6.309528351,9405.006407,-21.17526643,8769.978694,3397.295871,0.2207109366,9.295178116,2,0.3169809039
1_1,Potentiostatic EIS,36.23020573,-0.0002081942431,-2.845479061e-05,3.981062889,9809.337121,-13.73529442,9528.819924,2329.09545,0.2053226046,9.317197835,2,0.5023783989
1_1,Potentiostatic EIS,37.46684647,-0.0001994046374,-2.747878087e-05,2.511876583,9978.368541,-8.764234332,9861.857987,1520.393298,0.1174545734,9.320533153,2,0.7962174629
1_1,Potentiostatic EIS,39.40137389,-0.0002064600225,-2.787680369e-05,1.584885478,10053.23539,-5.557094627,10005.98715,973.5312516,0.09861757718,9.330299045,2,1.261920831
1_1,Potentiostatic EIS,41.4167998,-0.0002044047265,-2.781990064e-05,0.9999951124,10076.31819,-3.504332836,10057.47728,615.9050803,0.08446246226,9.328714914,2,2.000009775
